feature,feature_type,reason,semantic_group,n,missing_ratio,mean,std,min,q25,median,q75,q95,q99,max,zero_ratio,negative_ratio,unique_count,skew,q99_median_ratio,is_log_candidate
mActivity_m_activity_00_04_value_0_count,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,2.262848751835536,9.053756944708372,0.0,0.0,0.0,0.0,16.0,37.600000000000136,113.0,0.8913362701908958,0.0,32,7.39464709729355,,False
mActivity_m_activity_00_04_value_0_ratio,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,0.010283565468651322,0.04362570372625531,0.0,0.0,0.0,0.0,0.06666666666666667,0.18166666666666723,0.5490196078431373,0.8913362701908958,0.0,38,7.7101533941474,,False
mActivity_m_activity_00_04_value_1_count,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,0.007342143906020558,0.11480987660213257,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9955947136563876,0.0,3,16.37568364231208,,False
mActivity_m_activity_00_04_value_1_ratio,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,3.059226627508566e-05,0.0004783744858422189,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.9955947136563876,0.0,3,16.375683642312097,,False
mActivity_m_activity_00_04_value_3_count,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,207.09104258443466,74.48213717316393,0.0,230.0,240.0,240.0,240.0,240.0,240.0,0.08663729809104258,0.0,79,-2.1878566362395966,1.0,False
mActivity_m_activity_00_04_value_3_ratio,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,0.881554435316093,0.29604467157794034,0.0,0.990909090909091,1.0,1.0,1.0,1.0,1.0,0.08663729809104258,0.0,75,-2.4744673310761733,1.0,False
mActivity_m_activity_00_04_value_4_count,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,23.333333333333332,66.67534747404255,0.0,0.0,0.0,0.0,240.0,240.0,240.0,0.8678414096916299,0.0,48,2.693733125837298,,False
mActivity_m_activity_00_04_value_4_ratio,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,0.10457303079445793,0.29513585203620496,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8678414096916299,0.0,32,2.598067026953743,,False
mActivity_m_activity_00_04_value_7_count,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,0.8414096916299559,4.2334230772536285,0.0,0.0,0.0,0.0,5.0,19.40000000000009,54.0,0.908957415565345,0.0,23,7.5599500578353735,,False
mActivity_m_activity_00_04_value_7_ratio,actual_behavior,sensor-derived behavior value,activity_code,681,0.027142857142857142,0.0035155469817376543,0.01765529255578092,0.0,0.0,0.0,0.0,0.020833333333333332,0.0808333333333337,0.225,0.908957415565345,0.0,28,7.544451909016617,,False
